index,Price
0,2328646.3414634145
1,628487.8048780488
2,906603.6585365854
3,579865.8536585366
4,898268.2926829269
5,744506.1219512195
6,524474.0975609756
7,1864042.6829268292
8,635768.2926829269
9,1594646.3414634147
10,1723039.024390244
11,805469.512195122
12,1116841.463414634
13,627536.5853658536
14,732222.5609756098
15,960603.6463414634
16,535131.0975609756
17,716701.2195121951
18,2253359.7560975607
19,402597.56097560975
20,573509.1463414634
21,1014432.9268292683
22,1030115.8536585366
23,1224469.512195122
24,1779378.0487804879
25,730054.8902439025
26,567402.4390243902
27,615512.1951219512
28,779396.3414634146
29,1417866.9268292682
30,692585.3658536585
31,1779280.487804878
32,342231.7073170732
33,357439.0243902439
34,767646.3414634146
35,513097.56097560975
36,1702591.463414634
37,674609.756097561
38,1049621.9512195121
39,660655.487804878
40,1293536.5853658537
41,1087615.8536585367
42,1230786.5853658537
43,319073.1707317073
44,1071925.6097560977
45,1312512.1951219512
46,649664.6341463415
47,713859.6097560975
48,505628.0487804878
49,1194810.975609756
50,859203.6585365854
51,2611860.3902439023
52,578042.6829268293
53,887170.731707317
54,2027097.5609756098
55,635466.4634146341
56,642024.3902439025
57,1863091.463414634
58,1202707.3170731708
59,1809256.0975609757
60,634957.3170731707
61,1396310.975609756
62,1407892.6829268292
63,1051487.8048780488
64,2713411.9024390243
65,1559553.512195122
66,1658664.6341463414
67,583292.6829268293
68,1563886.5853658537
69,743719.512195122
70,672762.1951219512
71,1298060.975609756
72,1012095.1219512195
73,1959548.780487805
74,1283640.243902439
75,1755279.268292683
76,575509.743902439
77,1134286.5853658537
78,497548.7804878049
79,2546493.9024390243
80,793365.8536585366
81,665077.4390243902
82,508817.0731707317
83,1712201.219512195
84,1206140.243902439
85,758667.6829268293
86,746963.4146341464
87,1349502.3658536586
88,692317.0731707317
89,458219.51219512196
90,640890.243902439
91,1123841.463414634
92,1328170.8536585367
93,1677652.4390243902
94,1059341.463414634
95,2130707.3170731706
96,456000.0
97,2518182.926829268
98,1542993.9024390243
99,1440378.0487804879
100,649231.7073170731
101,1450339.024390244
102,2618740.2439024393
103,1144115.8536585367
104,504266.76829268294
105,536207.3170731707
106,1403060.975609756
107,1801353.6585365853
108,542256.0975609756
109,1812678.0487804879
110,2421975.6097560977
111,1050103.6585365853
112,568048.7804878049
113,1325058.536585366
114,2093158.536585366
115,512933.5731707317
116,1300804.8780487804
117,2536560.975609756
118,1227957.3170731708
119,1373609.756097561
120,2237371.951219512
121,430512.1951219512
122,1241079.268292683
123,970048.7804878049
124,896984.756097561
125,1440463.4146341463
126,1984619.512195122
127,551462.0487804879
128,915896.3414634146
129,845914.6341463415
130,543030.487804878
131,846762.1951219512
132,1276806.0975609757
133,2380987.8048780486
134,662917.0731707317
135,920682.9268292683
136,1005579.6097560975
137,732771.9512195121
138,912195.1219512195
139,639091.4634146341
140,1191022.524390244
141,1451542.6829268292
142,1022658.5365853659
143,981000.0
144,1042945.1219512195
145,2518445.1219512196
146,2317457.3170731706
147,727908.5365853659
148,1286186.9918699185
149,1007353.6585365854
150,559384.1463414634
151,791871.9634146341
152,506432.9268292683
153,914621.9512195121
154,1368495.1219512196
155,1692650.0
156,2112097.56097561
157,1090786.5853658537
158,497439.0243902439
159,1294006.0975609757
160,953048.7804878049
161,1943426.8292682928
162,1566756.0975609757
163,540493.9024390244
164,1211176.8292682928
165,1910060.975609756
166,1161109.756097561
167,660762.1951219512
168,574268.2926829269
169,683063.1097560975
170,1529658.536585366
171,1004323.1707317074
172,779886.5853658536
173,660268.2926829269
174,491226.2804878049
175,1118536.5853658537
176,672103.6585365854
177,500304.14634146343
178,1082000.0
179,946743.9024390244
180,3069573.1707317075
181,1113634.1463414633
182,607780.487804878
183,751298.7804878049
184,1240963.4146341463
185,1610725.6097560977
186,1697170.731707317
187,1163426.8292682928
188,620329.268292683
189,794628.0487804879
190,596518.2926829269
191,809963.4146341464
192,586359.756097561
193,1103060.975609756
194,652628.0487804879
195,1262875.7073170731
196,897060.9756097561
197,714457.3170731707
198,887182.9268292683
199,1074341.463414634
200,589304.8780487805
201,683252.4390243902
202,735439.0243902439
203,953750.0
204,1487335.3658536586
205,2279792.6829268294
206,872283.5365853659
207,1636170.731707317
208,851597.5609756098
209,1098776.1829268292
210,741335.3780487805
211,954213.4146341464
212,1760012.1951219512
213,1020075.6097560975
214,910695.1219512195
215,584420.731707317
216,962512.1951219512
217,849969.512195122
218,2072439.024390244
219,630146.3414634146
220,1141762.1951219512
221,1238512.1951219512
222,1989676.8292682928
223,1483567.0731707318
224,763192.0731707317
225,1281884.9268292682
226,1269737.8048780488
227,753109.756097561
228,770673.7926829269
229,421689.0243902439
230,482036.5853658537
231,745506.0975609756
232,810493.9024390244
233,2327706.0975609757
234,1185713.4146341463
235,1149000.0
236,1021121.9512195121
237,797130.487804878
238,2146134.1463414636
239,2134852.43902439
240,721634.1585365854
241,732225.6097560975
242,1724987.8048780488
243,1572207.3170731708
244,2755140.2439024393
245,323073.1707317073
246,649597.5
247,1565424.3902439023
248,1427450.0
249,1819914.6341463414
250,565914.6341463415
251,865762.1951219512
252,1024908.5365853659
253,598530.487804878
254,847213.4146341464
255,699345.5487804879
256,1597597.5609756098
257,1004603.6585365854
258,728097.5975609756
259,689321.3414634146
260,644640.243902439
261,943990.8536585366
262,1523518.2926829269
263,1258323.2926829269
264,1746615.8536585367
265,1277225.6097560977
266,1551170.731707317
267,1281128.0487804879
268,1243548.780487805
269,1662634.1463414633
